WN	W/cm2 sr cm-1
11750	5.1697E-07
11775	5.2265E-07
11800	5.4048E-07
11825	5.4211E-07
11850	5.1847E-07
11875	5.2931E-07
11900	5.0698E-07
11925	4.9432E-07
11950	4.8378E-07
11975	4.7397E-07
12000	4.2975E-07
12025	4.0686E-07
12050	3.8724E-07
12075	3.7514E-07
12100	4.4137E-07
12125	4.3843E-07
12150	2.7466E-07
12175	4.4815E-07
12200	3.3509E-07
12225	3.3845E-07
12250	3.1108E-07
12275	3.4374E-07
12300	3.9815E-07
12325	4.6751E-07
12350	4.9271E-07
12375	5.1301E-07
12400	5.2343E-07
12425	5.0358E-07
12450	4.8238E-07
12475	4.9473E-07
12500	5.0056E-07
12525	5.1625E-07
12550	4.7988E-07
12575	5.1914E-07
12600	5.0749E-07
12625	5.0233E-07
12650	4.8739E-07
12675	5.0181E-07
12700	5.2053E-07
12725	5.3748E-07
12750	5.4292E-07
12775	5.4674E-07
12800	5.4789E-07
12825	5.4703E-07
12850	5.4849E-07
12875	5.5022E-07
12900	5.3496E-07
12925	5.4692E-07
12950	5.3603E-07
12975	5.3594E-07
13000	5.1391E-07
13025	4.8044E-07
13050	3.561E-07
13075	2.5951E-07
13100	1.6826E-07
13125	2.085E-07
13150	4.257E-08
13175	4.8115E-07
13200	5.4198E-07
13225	5.3909E-07
13250	5.4641E-07
13275	5.4042E-07
13300	5.3573E-07
13325	5.3571E-07
13350	5.3375E-07
13375	5.3681E-07
13400	5.3587E-07
13425	5.2346E-07
13450	5.3461E-07
13475	5.0151E-07
13500	5.0367E-07
13525	0.000000482
13550	4.8225E-07
13575	4.5421E-07
13600	4.5831E-07
13625	4.6094E-07
13650	4.2907E-07
13675	3.5578E-07
13700	3.3735E-07
13725	3.574E-07
13750	3.2132E-07
13775	3.2726E-07
13800	3.3391E-07
13825	3.5746E-07
13850	4.2892E-07
13875	3.108E-07
13900	2.5271E-07
13925	2.8822E-07
13950	3.5783E-07
13975	4.6024E-07
14000	4.9464E-07
14025	4.9144E-07
14050	4.9852E-07
14075	4.9794E-07
14100	4.9158E-07
14125	4.8765E-07
14150	4.8062E-07
14175	4.6659E-07
14200	4.7715E-07
14225	4.5455E-07
14250	4.3701E-07
14275	4.3531E-07
14300	4.428E-07
14325	4.8462E-07
14350	4.8083E-07
14375	4.3145E-07
14400	4.0342E-07
14425	4.3029E-07
14450	4.3339E-07
14475	4.3926E-07
14500	3.9227E-07
14525	4.2127E-07
14550	2.8996E-07
14575	4.9626E-07
14600	5.0676E-07
14625	5.0953E-07
14650	5.0903E-07
14675	5.0735E-07
14700	5.0637E-07
14725	5.0677E-07
14750	5.0945E-07
14775	5.0509E-07
14800	5.0589E-07
14825	5.044E-07
14850	5.0649E-07
14875	4.987E-07
14900	4.991E-07
14925	5.0074E-07
14950	5.0558E-07
14975	4.9803E-07
15000	4.9104E-07
15025	4.9924E-07
15050	4.9049E-07
15075	4.8745E-07
15100	4.9808E-07
15125	4.8868E-07
15150	0.000000479
15175	4.7252E-07
15200	4.581E-07
15225	3.8404E-07
15250	4.1863E-07
15275	4.4657E-07
15300	4.6397E-07
15325	4.606E-07
15350	4.3403E-07
15375	4.5843E-07
15400	4.1899E-07
15425	4.3034E-07
15450	4.2141E-07
15475	4.4335E-07
15500	4.6542E-07
15525	4.6502E-07
15550	4.6884E-07
15575	4.6022E-07
15600	4.6331E-07
15625	4.5726E-07
15650	4.6519E-07
15675	4.6781E-07
15700	4.5628E-07
15725	4.4471E-07
15750	4.5241E-07
15775	4.4297E-07
15800	4.5026E-07
15825	4.2037E-07
15850	4.4276E-07
15875	4.2585E-07
15900	4.3801E-07
15925	4.1367E-07
15950	4.3871E-07
15975	4.3066E-07
16000	4.3116E-07
16025	4.3604E-07
16050	4.4077E-07
16075	4.3991E-07
16100	4.5283E-07
16125	4.5021E-07
16150	4.3985E-07
16175	4.4909E-07
16200	4.2723E-07
16225	4.1477E-07
16250	4.356E-07
16275	4.2635E-07
16300	4.2359E-07
16325	4.2868E-07
16350	4.4219E-07
16375	4.289E-07
16400	4.389E-07
16425	4.3559E-07
16450	4.3903E-07
16475	4.3777E-07
16500	4.3855E-07
16525	4.4108E-07
16550	4.4084E-07
16575	4.3053E-07
16600	4.2084E-07
16625	4.1931E-07
16650	4.1848E-07
16675	4.1754E-07
16700	4.1131E-07
16725	4.0201E-07
16750	4.0239E-07
16775	4.0283E-07
16800	3.8666E-07
16825	3.7266E-07
16850	4.0049E-07
16875	3.8358E-07
16900	3.6969E-07
16925	3.8612E-07
16950	3.4243E-07
16975	3.2353E-07
17000	3.9297E-07
17025	4.1687E-07
17050	4.1197E-07
17075	4.1098E-07
17100	4.2404E-07
17125	0.000000424
17150	4.2341E-07
17175	4.216E-07
17200	4.1193E-07
17225	4.082E-07
17250	4.0488E-07
17275	3.9374E-07
17300	3.9483E-07
17325	3.9932E-07
17350	3.9447E-07
17375	3.8563E-07
17400	3.9363E-07
17425	3.9979E-07
17450	4.0054E-07
17475	3.9637E-07
17500	3.8202E-07
17525	3.8196E-07
17550	3.8691E-07
17575	3.8148E-07
17600	3.9105E-07
17625	4.0073E-07
17650	3.8359E-07
17675	3.7596E-07
17700	4.0213E-07
17725	3.9493E-07
17750	4.0469E-07
17775	3.9335E-07
17800	3.8109E-07
17825	4.1339E-07
17850	3.8334E-07
17875	3.8211E-07
17900	3.7713E-07
17925	3.9157E-07
17950	3.8518E-07
17975	3.903E-07
18000	3.9273E-07
18025	3.9983E-07
18050	3.9946E-07
18075	3.852E-07
18100	3.9262E-07
18125	3.8916E-07
18150	3.8486E-07
18175	3.8723E-07
18200	3.7942E-07
18225	3.8515E-07
18250	3.6606E-07
18275	3.9183E-07
18300	3.8277E-07
18325	3.7781E-07
18350	3.7938E-07
18375	3.985E-07
18400	3.6248E-07
18425	3.7479E-07
18450	3.7992E-07
18475	3.5849E-07
18500	3.4794E-07
18525	3.6559E-07
18550	3.8068E-07
18575	3.7931E-07
18600	3.8251E-07
18625	3.6487E-07
18650	3.8375E-07
18675	3.8995E-07
18700	3.6479E-07
18725	3.5043E-07
18750	3.4331E-07
18775	3.4339E-07
18800	3.7192E-07
18825	3.8704E-07
18850	3.7888E-07
18875	3.5509E-07
18900	3.8494E-07
18925	3.6025E-07
18950	3.5727E-07
18975	0.0000003
19000	3.3073E-07
19025	3.5938E-07
19050	3.6339E-07
19075	3.7333E-07
19100	3.5194E-07
19125	3.3324E-07
19150	3.694E-07
19175	3.591E-07
19200	3.359E-07
19225	3.5167E-07
19250	3.2736E-07
19275	3.0471E-07
19300	3.2695E-07
19325	2.8388E-07
19350	2.8723E-07
19375	0.00000036
19400	3.476E-07
19425	3.3635E-07
19450	3.2785E-07
19475	3.5736E-07
19500	3.3206E-07
19525	3.645E-07
19550	3.6538E-07
19575	3.4668E-07
19600	3.3893E-07
19625	3.6335E-07
19650	3.5059E-07
19675	3.1822E-07
19700	3.4239E-07
19725	3.3773E-07
19750	3.6011E-07
19775	3.5576E-07
19800	3.3533E-07
19825	3.0943E-07
19850	3.1776E-07
19875	3.3844E-07
19900	3.275E-07
19925	3.2279E-07
19950	3.2756E-07
19975	3.1373E-07
20000	3.2928E-07
20025	3.3926E-07
20050	3.2116E-07
20075	3.1869E-07
20100	3.5364E-07
20125	3.308E-07
20150	3.5811E-07
20175	3.3682E-07
20200	3.5599E-07
20225	3.5173E-07
20250	3.2142E-07
20275	3.4906E-07
20300	3.3138E-07
20325	3.0052E-07
20350	3.2197E-07
20375	3.3696E-07
20400	3.4666E-07
20425	3.3548E-07
20450	3.0356E-07
20475	3.3147E-07
20500	3.2339E-07
20525	3.0301E-07
20550	2.8217E-07
20575	2.6345E-07
20600	3.1716E-07
20625	3.2636E-07
20650	3.1718E-07
20675	3.3666E-07
20700	3.3507E-07
20725	3.3619E-07
20750	3.3892E-07
20775	3.2629E-07
20800	3.2666E-07
20825	3.216E-07
20850	3.3111E-07
20875	3.1252E-07
20900	3.2885E-07
20925	3.3423E-07
20950	3.2988E-07
20975	3.0832E-07
21000	3.2095E-07
21025	3.2243E-07
21050	3.3027E-07
21075	3.1864E-07
21100	3.1064E-07
21125	3.1163E-07
21150	3.1575E-07
21175	3.2219E-07
21200	3.148E-07
21225	3.0858E-07
21250	3.0051E-07
21275	3.0754E-07
21300	3.2388E-07
21325	3.1195E-07
21350	3.0797E-07
21375	3.2115E-07
21400	3.0871E-07
21425	2.9212E-07
21450	3.1957E-07
21475	2.9936E-07
21500	2.9149E-07
21525	3.1071E-07
21550	2.9414E-07
21575	2.9958E-07
21600	0.000000297
21625	3.0737E-07
21650	2.9022E-07
21675	2.9873E-07
21700	3.0689E-07
21725	2.882E-07
21750	2.9435E-07
21775	2.9818E-07
21800	2.8856E-07
21825	2.7646E-07
21850	3.0909E-07
21875	2.9987E-07
21900	2.9639E-07
21925	3.0484E-07
21950	2.8368E-07
21975	2.8487E-07
22000	2.8323E-07
22025	2.9434E-07
22050	2.5882E-07
22075	2.526E-07
22100	2.8109E-07
22125	2.8465E-07
22150	2.9453E-07
22175	3.0544E-07
22200	3.0207E-07
22225	2.8227E-07
22250	2.7019E-07
22275	2.6863E-07
22300	2.6206E-07
22325	2.7631E-07
22350	2.7968E-07
22375	2.5795E-07
22400	2.499E-07
22425	2.3174E-07
22450	2.3987E-07
22475	2.6034E-07
22500	2.4398E-07
22525	2.6156E-07
22550	2.4214E-07
22575	2.4205E-07
22600	2.4826E-07
22625	2.6327E-07
22650	2.339E-07
22675	2.406E-07
22700	2.168E-07
22725	2.297E-07
22750	2.2618E-07
22775	2.1389E-07
22800	1.6748E-07
22825	2.3988E-07
22850	2.1423E-07
22875	2.2773E-07
22900	2.4486E-07
22925	2.3681E-07
22950	2.3177E-07
22975	1.9412E-07
23000	2.2538E-07
23025	1.7468E-07
23050	2.0365E-07
23075	2.3788E-07
23100	2.0047E-07
23125	1.8315E-07
23150	2.4978E-07
23175	1.7699E-07
23200	1.0921E-07
23225	1.2374E-07
23250	1.2292E-07
23275	1.7702E-07
23300	1.6061E-07
23325	1.8476E-07
23350	1.8697E-07
23375	1.9705E-07
23400	1.5643E-07
23425	2.058E-07
23450	2.1087E-07
23475	1.9068E-07
23500	2.0103E-07
23525	1.7892E-07
23550	2.1026E-07
23575	1.9728E-07
23600	1.8538E-07
23625	2.0809E-07
23650	1.4922E-07
23675	2.1531E-07
23700	2.0661E-07
23725	1.9866E-07
23750	2.2469E-07
23775	2.0259E-07
23800	1.6977E-07
23825	1.7339E-07
23850	2.0956E-07
23875	1.8965E-07
23900	2.0345E-07
23925	2.0345E-07
23950	1.8064E-07
23975	2.0161E-07
24000	2.1451E-07
24025	2.2238E-07
24050	2.0333E-07
24075	2.0577E-07
24100	2.064E-07
24125	1.7915E-07
24150	2.1237E-07
24175	0.000000191
24200	1.8743E-07
24225	1.9966E-07
24250	2.0199E-07
24275	2.1393E-07
24300	2.1129E-07
24325	2.0504E-07
24350	1.9196E-07
24375	1.4278E-07
24400	1.8272E-07
24425	2.1085E-07
24450	2.1439E-07
24475	1.7958E-07
24500	1.9827E-07
24525	1.6598E-07
24550	1.6576E-07
24575	1.7829E-07
24600	1.5158E-07
24625	1.9523E-07
24650	1.7077E-07
24675	2.0151E-07
24700	1.5794E-07
24725	1.6502E-07
24750	1.9137E-07
24775	1.833E-07
24800	1.6498E-07
24825	1.9026E-07
24850	1.8243E-07
24875	1.7925E-07
24900	1.8602E-07
24925	1.817E-07
24950	1.6705E-07
24975	1.9431E-07
25000	1.7033E-07
25025	1.7153E-07
25050	1.7906E-07
25075	1.755E-07
25100	1.5433E-07
25125	1.605E-07
25150	1.139E-07
25175	5.381E-08
25200	3.583E-08
25225	8.267E-08
25250	1.3962E-07
25275	1.4343E-07
25300	1.3552E-07
25325	1.307E-07
25350	1.035E-07
25375	9.193E-08
25400	3.756E-08
25425	2.923E-08
25450	7.123E-08
25475	1.1656E-07
25500	1.0569E-07
25525	1.4293E-07
25550	1.5363E-07
25575	1.4488E-07
25600	1.0935E-07
25625	1.2394E-07
25650	1.3303E-07
25675	1.258E-07
25700	9.965E-08
25725	8.265E-08
25750	8.389E-08
25775	7.88E-08
25800	1.0642E-07
25825	6.514E-08
25850	1.0156E-07
25875	1.1068E-07
25900	5.394E-08
25925	8.342E-08
25950	9.716E-08
25975	9.731E-08
26000	9.854E-08
26025	7.058E-08
26050	6.036E-08
26075	5.179E-08
26100	7.099E-08
26125	5.391E-08
26150	7.96E-08
26175	7.998E-08
26200	8.245E-08
26225	1.0429E-07
26250	1.1296E-07
26275	1.265E-07
26300	1.1061E-07
